id,name,brand,category,price,stock,seller_id,search_count,description
1,Asus ROG Zephyrus,Asus,Laptop,25000000.00,0,2,37,15,Laptop gaming tipis dengan performa monster dan layar 240Hz.
2,Asus TUF Gaming,Asus,Laptop,14000000.00,8,2,31,42,Laptop tangguh untuk gaming berat dengan sistem pendingin efisien.
3,Asus Zenfone 10,Asus,Mobile,12000000.00,15,2,27,8,Smartphone compact dengan performa flagship dan kamera stabil.
4,Apple iPhone 15 Pro,Apple,Mobile,21000000.00,9,3,43,120,Smartphone tercanggih dengan chip A17 Pro yang sangat cepat.
5,Apple MacBook Air M3,Apple,Laptop,18000000.00,1,3,30,65,Laptop ringan dan powerful untuk produktivitas sehari-hari.
6,Apple iPad Air,Apple,Tablet,11000000.00,12,3,22,33,Tablet serbaguna dengan chip M2 untuk bekerja dan berkarya.
7,Sony WH-1000XM5,Sony,Audio,4500000.00,20,2,23,85,Headphone noise cancelling terbaik dengan kualitas suara jernih.
8,Sony WF-1000XM5,Sony,Audio,3200000.00,25,2,14,40,Earbud nirkabel dengan kenyamanan maksimal dan suara premium.
9,Logitech G Pro X,Logitech,Aksesoris,2300000.00,30,2,19,210,Keyboard mekanik profesional pilihan para atlet e-sport.
11,Anjay,Anjay,Anjay,100.00,48,4,3,Anjay
12,ROG,ROG,LAPTOP,100.00,100,4,3,20
13,CTA,Asus,Lapto,100000.00,15,2,0,Bagus
